Model,Metin1,Metin2,Metin3,Metin4,Metin5,Ortalama
tfidf_lemmatized,1,1,1,1,1,1.0
tfidf_stemmed,1,1,1,1,1,1.0
lemmatized_cbow_window2_dim100,1,1,1,1,1,1.0
stemmed_cbow_window2_dim100,1,1,1,1,1,1.0
lemmatized_cbow_window2_dim300,1,1,1,1,1,1.0
stemmed_cbow_window2_dim300,1,1,1,1,1,1.0
lemmatized_cbow_window4_dim100,1,1,1,1,1,1.0
stemmed_cbow_window4_dim100,1,1,1,1,1,1.0
lemmatized_cbow_window4_dim300,1,1,1,1,1,1.0
stemmed_cbow_window4_dim300,1,1,1,1,1,1.0
lemmatized_skipgram_window2_dim100,1,1,1,1,1,1.0
stemmed_skipgram_window2_dim100,1,1,1,1,1,1.0
lemmatized_skipgram_window2_dim300,1,1,1,1,1,1.0
stemmed_skipgram_window2_dim300,1,1,1,1,1,1.0
lemmatized_skipgram_window4_dim100,1,1,1,1,1,1.0
stemmed_skipgram_window4_dim100,1,1,1,1,1,1.0
lemmatized_skipgram_window4_dim300,1,1,1,1,1,1.0
stemmed_skipgram_window4_dim300,1,1,1,1,1,1.0
